30.000 ,36.000 ,42.000 ,48.000 ,54.000, 60.000 , 2.800 , 2.800 , 3.100 , 2.900 , 2.800 , 2.800 , 31.848 , -3.925 
36.000 ,30.000 ,42.000 ,48.000 ,54.000, 60.000 , 0.100 , 6.100 , 2.900 , 3.100 , 2.900 , 2.800 , 31.683 , -1.119 
42.000 ,30.000 ,36.000 ,48.000 ,54.000, 60.000 , 0.700 , 3.300 , 2.700 , 2.900 , 3.100 , 2.900 , 32.441 , -3.023 
48.000 ,30.000 ,36.000 ,42.000 ,54.000, 60.000 , 0.800 , 3.100 , 2.900 , 2.400 , 2.900 , 2.800 , 33.105 , -4.381 
54.000 ,30.000 ,36.000 ,42.000 ,48.000, 60.000 , 0.600 , 3.000 , 3.000 , 2.600 , 2.300 , 2.500 , 33.482 , -5.783 
60.000 ,30.000 ,36.000 ,42.000 ,48.000, 54.000 , 0.200 , 3.000 , 3.000 , 2.600 , 2.500 , 2.300 , 33.682 , -6.257 
31.000 ,37.000 ,43.000 ,49.000 ,55.000, 61.000 , 2.500 , 2.800 , 3.100 , 2.900 , 2.800 , 2.800 , 32.173 , -4.172 
37.000 ,31.000 ,43.000 ,49.000 ,55.000, 61.000 , 0.200 , 5.700 , 2.900 , 3.100 , 2.900 , 2.900 , 32.119 , -1.570 
43.000 ,31.000 ,37.000 ,49.000 ,55.000, 61.000 , 0.700 , 3.400 , 2.600 , 2.900 , 3.000 , 2.900 , 32.754 , -3.517 
49.000 ,31.000 ,37.000 ,43.000 ,55.000, 61.000 , 0.700 , 3.100 , 2.900 , 2.400 , 2.800 , 2.700 , 33.272 , -4.629 
55.000 ,31.000 ,37.000 ,43.000 ,49.000, 61.000 , 0.600 , 3.100 , 2.900 , 2.600 , 2.300 , 2.400 , 33.562 , -6.270 
61.000 ,31.000 ,37.000 ,43.000 ,49.000, 55.000 , 0.200 , 3.000 , 3.000 , 2.600 , 2.500 , 2.300 , 33.715 , -6.418 
32.000 ,38.000 ,44.000 ,50.000 ,56.000, 62.000 , 2.100 , 2.800 , 3.100 , 2.900 , 2.800 , 2.800 , 32.457 , -4.406 
